bearing_deg,horizon_deg
254.0000,10.4632
254.5000,10.4420
255.0000,10.3596
255.5000,10.3166
256.0000,10.2388
256.5000,10.2152
257.0000,10.1112
257.5000,9.8672
258.0000,9.8316
258.5000,9.8553
259.0000,9.8183
259.5000,9.8714
260.0000,9.9126
260.5000,10.0296
261.0000,10.1180
261.5000,9.9774
262.0000,9.8444
262.5000,9.7325
263.0000,9.6488
263.5000,9.5860
264.0000,9.5785
264.5000,9.6353
265.0000,9.6954
265.5000,9.5170
266.0000,9.3832
266.5000,9.5886
267.0000,9.7901
267.5000,9.8994
268.0000,9.7143
268.5000,9.4900
269.0000,9.5140
269.5000,9.2794
270.0000,9.3994
270.5000,9.3021
271.0000,9.0830
271.5000,9.1492
272.0000,9.1158
272.5000,9.0659
273.0000,9.0494
273.5000,9.1514
274.0000,9.1232
274.5000,9.1409
275.0000,9.2129
275.5000,9.0209
276.0000,8.9279
276.5000,9.0061
277.0000,8.7695
277.5000,8.5784
278.0000,8.6902
278.5000,8.7728
279.0000,8.8908
279.5000,8.9751
280.0000,8.9753
280.5000,8.8135
281.0000,8.4946
281.5000,8.2678
282.0000,7.9987
282.5000,7.7055
283.0000,7.5430
283.5000,7.3956
284.0000,7.2003
284.5000,7.0301
285.0000,6.9365
285.5000,6.7881
286.0000,6.8594
286.5000,6.9150
287.0000,6.8050
287.5000,6.7467
288.0000,6.9802
288.5000,7.2172
289.0000,7.5318
289.5000,7.7394
290.0000,7.9267
290.5000,7.9790
291.0000,7.9621
291.5000,7.8122
292.0000,7.5083
292.5000,7.4120
293.0000,7.0188
293.5000,6.5252
294.0000,6.2992
294.5000,5.9824
295.0000,5.9522
295.5000,6.0755
296.0000,6.3000
296.5000,6.2800
297.0000,6.2711
297.5000,6.2279
298.0000,6.1229
298.5000,6.0397
299.0000,5.9919
299.5000,5.9167
300.0000,5.7369
300.5000,5.5154
301.0000,5.1454
301.5000,5.3597
302.0000,5.3066
302.5000,5.1139
303.0000,5.0196
303.5000,4.8712
304.0000,4.8830
304.5000,5.0358
305.0000,5.0546
305.5000,4.9446
306.0000,4.8430
306.5000,4.7699
307.0000,4.4426
307.5000,4.4904
308.0000,4.4924
308.5000,4.4471
309.0000,4.4016
309.5000,4.4142
310.0000,4.2978
310.5000,4.2622
311.0000,3.9153
311.5000,3.3050
312.0000,2.8892
312.5000,2.3347
313.0000,2.0530
313.5000,2.0778
314.0000,1.9976
314.5000,1.9908
315.0000,1.9326
315.5000,1.8567
316.0000,1.8040
316.5000,1.7124
317.0000,1.6786
317.5000,1.6528
318.0000,1.5390
318.5000,1.5035
319.0000,1.4969
319.5000,1.4032
320.0000,1.3274
320.5000,1.3034
321.0000,1.1952
321.5000,1.1154
322.0000,1.0386
322.5000,1.0153
323.0000,1.3089
323.5000,1.4763
324.0000,1.6187
324.5000,1.5363
325.0000,1.6926
325.5000,1.7050
326.0000,1.7926
326.5000,1.7138
327.0000,1.8300
327.5000,1.6899
328.0000,1.6922
328.5000,1.7015
329.0000,1.9074
329.5000,1.8023
330.0000,1.7209
330.5000,1.7145
331.0000,1.6812
331.5000,1.8559
332.0000,2.0675
332.5000,2.0754
333.0000,2.1625
333.5000,2.2879
334.0000,2.1385
334.5000,2.1274
335.0000,2.0959
335.5000,2.1181
336.0000,1.9373
336.5000,2.1383
337.0000,2.0610
337.5000,2.2755
338.0000,2.4817
338.5000,2.4387
339.0000,2.5293
339.5000,2.7512
340.0000,2.9386
340.5000,3.0652
341.0000,3.1918
341.5000,3.3146
342.0000,3.3826
342.5000,3.4992
343.0000,3.5928
343.5000,3.6181
344.0000,3.7010
344.5000,3.7838
345.0000,3.6975
345.5000,3.5702
346.0000,3.4775
346.5000,3.3870
347.0000,3.2891
347.5000,3.1075
348.0000,3.2487
348.5000,3.2372
349.0000,3.2598
349.5000,3.2337
350.0000,3.1982
350.5000,3.2266
351.0000,3.0790
351.5000,3.1841
352.0000,3.5090
352.5000,3.5802
353.0000,3.5249
353.5000,3.5845
354.0000,3.5095
354.5000,3.5518
355.0000,3.5462
355.5000,3.6313
356.0000,4.0205
356.5000,4.2552
357.0000,4.4578
357.5000,4.6074
358.0000,4.8248
358.5000,5.0532
359.0000,5.2367
359.5000,5.3795
